"filename", "language", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "JSON with Comments", "CSS", "Markdown", "comment", "blank", "total"
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/dashboard-nav.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 7, 62
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/date-range-picker.tsx", "TypeScript JSX", 0, 0, 0, 61, 0, 0, 0, 0, 3, 64
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/forms/Admin Forms/admin-auth-form.tsx", "TypeScript JSX", 0, 0, 0, 113, 0, 0, 0, 0, 8, 121
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/forms/Admin Forms/computer-form.tsx", "TypeScript JSX", 0, 0, 0, 309, 0, 0, 0, 27, 11, 347
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/forms/Admin Forms/report-form.tsx", "TypeScript JSX", 0, 0, 0, 240, 0, 0, 0, 4, 17, 261
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/forms/Admin Forms/user-form.tsx", "TypeScript JSX", 0, 0, 0, 297, 0, 0, 0, 3, 20, 320
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/forms/Admin Forms/user-signup-form.tsx", "TypeScript JSX", 0, 0, 0, 225, 0, 0, 0, 23, 15, 263
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/forms/General User Form/user-login-form.tsx", "TypeScript JSX", 0, 0, 0, 95, 0, 0, 0, 0, 10, 105
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/forms/General User Form/user-signup-form.tsx", "TypeScript JSX", 0, 0, 0, 272, 0, 0, 0, 1, 19, 292
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/forms/user-profile-stepper/create-profile.tsx", "TypeScript JSX", 0, 0, 0, 253, 0, 0, 0, 16, 16, 285
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/globe.tsx", "TypeScript JSX", 0, 0, 0, 271, 0, 0, 0, 1, 34, 306
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/google-gemini-effect.tsx", "TypeScript JSX", 0, 0, 0, 87, 0, 0, 0, 0, 3, 90
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/icons.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 3, 85
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/layout/ThemeToggle/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/layout/ThemeToggle/theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/layout/header.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 1, 3, 38
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/layout/mobile-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 2, 4, 38
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/layout/providers.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/layout/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/layout/user-header.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 2, 3, 39
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/layout/user-mobile-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 2, 5, 47
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/layout/user-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/modal/alert-modal.tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 6, 51
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/modal/change-password.tsx", "TypeScript JSX", 0, 0, 0, 162, 0, 0, 0, 0, 9, 171
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/overview.tsx", "TypeScript JSX", 0, 0, 0, 75, 0, 0, 0, 0, 4, 79
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/recent-sales.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 2, 68
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/sparkels.tsx", "TypeScript JSX", 0, 0, 0, 430, 0, 0, 0, 0, 6, 436
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/splashScreen.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/splashScreenProvider.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 7, 26
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/tables/computer-table/cell-action.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 6, 80
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/tables/computer-table/columns.tsx", "TypeScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 4, 62
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/tables/report-table/cell-action.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/tables/report-table/columns.tsx", "TypeScript JSX", 0, 0, 0, 78, 0, 0, 0, 0, 5, 83
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/tables/session-table/cell-action.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 5, 74
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/tables/session-table/columns.tsx", "TypeScript JSX", 0, 0, 0, 115, 0, 0, 0, 0, 5, 120
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/tables/user-tables/cell-action.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 5, 71
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/tables/user-tables/client.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 6, 6, 34
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/tables/user-tables/columns.tsx", "TypeScript JSX", 0, 0, 0, 100, 0, 0, 0, 1, 2, 103
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/accordion.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 8, 58
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 130, 0, 0, 0, 1, 15, 146
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/alert.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 7, 60
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 7, 51
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 6, 37
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 6, 58
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 5, 109
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 75, 0, 0, 0, 0, 9, 84
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/data-table.tsx", "TypeScript JSX", 0, 0, 0, 248, 0, 0, 0, 0, 13, 261
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 14, 123
